score	transformation matrix	RMSD
0.57	-0.6569,-0.5631,0.5014,306.1110,-0.1560,-0.5492,-0.8210,497.6310,0.7377,-0.6175,0.2729,160.7590,0.0000,0.0000,0.0000,1.0000	4.46
0.57	-0.6567,-0.5632,0.5015,306.0960,-0.1559,-0.5492,-0.8210,497.6220,0.7379,-0.6173,0.2729,160.6910,0.0000,0.0000,0.0000,1.0000	4.46
0.57	-0.6567,-0.5632,0.5015,306.0920,-0.1559,-0.5492,-0.8210,497.6240,0.7378,-0.6174,0.2729,160.6910,0.0000,0.0000,0.0000,1.0000	4.46
0.57	-0.6569,-0.5631,0.5014,306.1110,-0.1560,-0.5492,-0.8210,497.6310,0.7377,-0.6175,0.2729,160.7600,0.0000,0.0000,0.0000,1.0000	4.46
0.57	-0.6568,-0.5631,0.5014,306.1110,-0.1560,-0.5491,-0.8210,497.6330,0.7377,-0.6175,0.2728,160.7700,0.0000,0.0000,0.0000,1.0000	4.46
0.57	-0.6568,-0.5631,0.5015,306.1100,-0.1560,-0.5491,-0.8210,497.6340,0.7377,-0.6175,0.2728,160.7690,0.0000,0.0000,0.0000,1.0000	4.46
0.57	-0.6568,-0.5631,0.5015,306.1040,-0.1561,-0.5491,-0.8210,497.6380,0.7377,-0.6175,0.2728,160.7710,0.0000,0.0000,0.0000,1.0000	4.46
0.57	-0.6569,-0.5631,0.5014,306.1110,-0.1560,-0.5492,-0.8210,497.6310,0.7377,-0.6175,0.2729,160.7590,0.0000,0.0000,0.0000,1.0000	4.46
0.57	-0.6568,-0.5631,0.5015,306.1080,-0.1560,-0.5491,-0.8210,497.6340,0.7377,-0.6175,0.2728,160.7690,0.0000,0.0000,0.0000,1.0000	4.46
0.57	-0.6568,-0.5631,0.5015,306.0970,-0.1561,-0.5491,-0.8210,497.6410,0.7377,-0.6175,0.2728,160.7710,0.0000,0.0000,0.0000,1.0000	4.45
