t_x	t_y	t_z	score
0.00	0.00	0.00	0.0
0.00	0.00	55.00	0.25
0.00	0.00	110.00	0.21
0.00	0.00	165.00	0.22
0.00	0.00	220.00	0.0
0.00	0.00	275.00	0.0
0.00	55.00	0.00	0.21
0.00	55.00	55.00	0.57
0.00	55.00	110.00	0.56
0.00	55.00	165.00	0.56
0.00	55.00	220.00	0.23
0.00	55.00	275.00	0.0
0.00	110.00	0.00	0.24
0.00	110.00	55.00	0.56
0.00	110.00	110.00	0.24
0.00	110.00	165.00	0.57
0.00	110.00	220.00	0.26
0.00	110.00	275.00	0.0
0.00	165.00	0.00	0.24
0.00	165.00	55.00	0.24
0.00	165.00	110.00	0.57
0.00	165.00	165.00	0.57
0.00	165.00	220.00	0.23
0.00	165.00	275.00	0.0
0.00	220.00	0.00	0.0
0.00	220.00	55.00	0.22
0.00	220.00	110.00	0.22
0.00	220.00	165.00	0.26
0.00	220.00	220.00	0.23
0.00	220.00	275.00	0.0
0.00	275.00	0.00	0.0
0.00	275.00	55.00	0.0
0.00	275.00	110.00	0.26
0.00	275.00	165.00	0.0
0.00	275.00	220.00	0.0
0.00	275.00	275.00	0.0
55.00	0.00	0.00	0.20
55.00	0.00	55.00	0.21
55.00	0.00	110.00	0.23
55.00	0.00	165.00	0.23
55.00	0.00	220.00	0.21
55.00	0.00	275.00	0.0
55.00	55.00	0.00	0.23
55.00	55.00	55.00	0.21
55.00	55.00	110.00	0.26
55.00	55.00	165.00	0.22
55.00	55.00	220.00	0.26
55.00	55.00	275.00	0.24
55.00	110.00	0.00	0.22
55.00	110.00	55.00	0.25
55.00	110.00	110.00	0.57
55.00	110.00	165.00	0.23
55.00	110.00	220.00	0.24
55.00	110.00	275.00	0.20
55.00	165.00	0.00	0.21
55.00	165.00	55.00	0.57
55.00	165.00	110.00	0.57
55.00	165.00	165.00	0.57
55.00	165.00	220.00	0.26
55.00	165.00	275.00	0.26
55.00	220.00	0.00	0.21
55.00	220.00	55.00	0.57
55.00	220.00	110.00	0.22
55.00	220.00	165.00	0.22
55.00	220.00	220.00	0.23
55.00	220.00	275.00	0.0
55.00	275.00	0.00	0.0
55.00	275.00	55.00	0.22
55.00	275.00	110.00	0.25
55.00	275.00	165.00	0.57
55.00	275.00	220.00	0.0
55.00	275.00	275.00	0.0
110.00	0.00	0.00	0.24
110.00	0.00	55.00	0.23
110.00	0.00	110.00	0.23
110.00	0.00	165.00	0.23
110.00	0.00	220.00	0.24
110.00	0.00	275.00	0.22
110.00	55.00	0.00	0.21
110.00	55.00	55.00	0.24
110.00	55.00	110.00	0.26
110.00	55.00	165.00	0.26
110.00	55.00	220.00	0.22
110.00	55.00	275.00	0.21
110.00	110.00	0.00	0.22
110.00	110.00	55.00	0.22
110.00	110.00	110.00	0.57
110.00	110.00	165.00	0.22
110.00	110.00	220.00	0.26
110.00	110.00	275.00	0.23
110.00	165.00	0.00	0.26
110.00	165.00	55.00	0.23
110.00	165.00	110.00	0.23
110.00	165.00	165.00	0.23
110.00	165.00	220.00	0.26
110.00	165.00	275.00	0.25
110.00	220.00	0.00	0.23
110.00	220.00	55.00	0.22
110.00	220.00	110.00	0.21
110.00	220.00	165.00	0.21
110.00	220.00	220.00	0.25
110.00	220.00	275.00	0.22
110.00	275.00	0.00	0.0
110.00	275.00	55.00	0.23
110.00	275.00	110.00	0.26
110.00	275.00	165.00	0.21
110.00	275.00	220.00	0.25
110.00	275.00	275.00	0.0
165.00	0.00	0.00	0.26
165.00	0.00	55.00	0.27
165.00	0.00	110.00	0.26
165.00	0.00	165.00	0.25
165.00	0.00	220.00	0.25
165.00	0.00	275.00	0.24
165.00	55.00	0.00	0.22
165.00	55.00	55.00	0.23
165.00	55.00	110.00	0.22
165.00	55.00	165.00	0.26
165.00	55.00	220.00	0.22
165.00	55.00	275.00	0.20
165.00	110.00	0.00	0.25
165.00	110.00	55.00	0.22
165.00	110.00	110.00	0.22
165.00	110.00	165.00	0.24
165.00	110.00	220.00	0.24
165.00	110.00	275.00	0.22
165.00	165.00	0.00	0.24
165.00	165.00	55.00	0.23
165.00	165.00	110.00	0.22
165.00	165.00	165.00	0.23
165.00	165.00	220.00	0.24
165.00	165.00	275.00	0.24
165.00	220.00	0.00	0.23
165.00	220.00	55.00	0.23
165.00	220.00	110.00	0.22
165.00	220.00	165.00	0.25
165.00	220.00	220.00	0.24
165.00	220.00	275.00	0.24
165.00	275.00	0.00	0.0
165.00	275.00	55.00	0.26
165.00	275.00	110.00	0.21
165.00	275.00	165.00	0.21
165.00	275.00	220.00	0.25
165.00	275.00	275.00	0.0
220.00	0.00	0.00	0.23
220.00	0.00	55.00	0.24
220.00	0.00	110.00	0.25
220.00	0.00	165.00	0.25
220.00	0.00	220.00	0.27
220.00	0.00	275.00	0.25
220.00	55.00	0.00	0.23
220.00	55.00	55.00	0.25
220.00	55.00	110.00	0.26
220.00	55.00	165.00	0.25
220.00	55.00	220.00	0.24
220.00	55.00	275.00	0.23
220.00	110.00	0.00	0.23
220.00	110.00	55.00	0.22
220.00	110.00	110.00	0.23
220.00	110.00	165.00	0.25
220.00	110.00	220.00	0.19
220.00	110.00	275.00	0.21
220.00	165.00	0.00	0.23
220.00	165.00	55.00	0.23
220.00	165.00	110.00	0.22
220.00	165.00	165.00	0.23
220.00	165.00	220.00	0.23
220.00	165.00	275.00	0.26
220.00	220.00	0.00	0.0
220.00	220.00	55.00	0.22
220.00	220.00	110.00	0.22
220.00	220.00	165.00	0.20
220.00	220.00	220.00	0.24
220.00	220.00	275.00	0.0
220.00	275.00	0.00	0.0
220.00	275.00	55.00	0.23
220.00	275.00	110.00	0.23
220.00	275.00	165.00	0.20
220.00	275.00	220.00	0.0
220.00	275.00	275.00	0.0
275.00	0.00	0.00	0.26
275.00	0.00	55.00	0.23
275.00	0.00	110.00	0.23
275.00	0.00	165.00	0.24
275.00	0.00	220.00	0.22
275.00	0.00	275.00	0.0
275.00	55.00	0.00	0.22
275.00	55.00	55.00	0.25
275.00	55.00	110.00	0.25
275.00	55.00	165.00	0.23
275.00	55.00	220.00	0.25
275.00	55.00	275.00	0.0
275.00	110.00	0.00	0.23
275.00	110.00	55.00	0.21
275.00	110.00	110.00	0.24
275.00	110.00	165.00	0.23
275.00	110.00	220.00	0.21
275.00	110.00	275.00	0.0
275.00	165.00	0.00	0.21
275.00	165.00	55.00	0.20
275.00	165.00	110.00	0.25
275.00	165.00	165.00	0.25
275.00	165.00	220.00	0.19
275.00	165.00	275.00	0.0
275.00	220.00	0.00	0.0
275.00	220.00	55.00	0.0
275.00	220.00	110.00	0.25
275.00	220.00	165.00	0.23
275.00	220.00	220.00	0.0
275.00	220.00	275.00	0.0
275.00	275.00	0.00	0.0
275.00	275.00	55.00	0.0
275.00	275.00	110.00	0.0
275.00	275.00	165.00	0.0
