5.000000
64 64 64
155.039997 155.039997 155.039997
-4.960003 -4.960003 -4.960003
12.439882 621.262963 243.493332
198099 19 23 48
0.979540 -0.071187 -0.188238 2.717649
210260 20 21 51
0.862364 0.498953 -0.085872 3.664250
210324 20 22 51
0.855352 -0.400606 -0.328462 3.907902
194004 20 23 47
0.999477 -0.030035 0.011946 6.021521
202196 20 23 49
0.594472 -0.504030 -0.626543 3.609692
194068 20 24 47
0.533455 -0.839361 -0.104396 4.206716
202260 20 24 49
0.267011 -0.821445 -0.503917 2.031814
181844 20 25 44
0.948980 -0.311002 0.052099 3.229429
214229 21 19 52
0.077546 0.915035 -0.395850 1.700928
210197 21 20 51
0.403592 0.909852 -0.096347 3.651367
193941 21 22 47
0.166523 0.964862 0.203254 5.981570
177685 21 24 43
0.529164 0.674193 0.515218 4.687651
181781 21 24 44
0.638977 0.726907 0.251624 5.895419
177749 21 25 43
0.889401 -0.048503 0.454547 6.000224
185941 21 25 45
0.862395 -0.440787 -0.248962 6.001204
177813 21 26 43
0.819306 -0.486352 0.303643 4.618052
181909 21 26 44
0.892197 -0.438715 -0.107305 4.887602
75797 21 32 18
0.318154 0.541812 -0.777957 0.061291
92565 21 38 22
0.686316 0.616767 0.385446 1.483847
92629 21 39 22
0.881707 0.204128 0.425353 2.198064
96853 21 41 23
0.968986 0.084722 0.232139 6.119885
100949 21 41 24
0.799222 0.118280 -0.589282 5.085762
202006 22 20 49
0.461558 0.684241 0.564605 3.509890
210198 22 20 51
-0.216273 0.877923 -0.427174 3.710347
214294 22 20 52
-0.237296 0.731531 -0.639182 2.859154
206166 22 21 50
-0.666699 0.715279 -0.209496 4.694402
206230 22 22 50
-0.634198 -0.268627 -0.725005 4.749440
189910 22 23 46
-0.814401 0.476828 0.330734 5.855195
202198 22 23 49
-0.068603 -0.732094 -0.677740 5.230644
210390 22 23 51
-0.202355 -0.803955 -0.559204 2.646758
181782 22 24 44
-0.144141 0.932944 0.329906 6.496229
177750 22 25 43
0.249040 0.691252 0.678344 7.836985
185942 22 25 45
0.988461 0.059085 -0.139478 8.069163
181974 22 27 44
0.977421 -0.208823 0.032262 7.821993
186070 22 27 45
0.924478 -0.194706 -0.327764 7.133811
190166 22 27 46
0.619576 -0.289931 -0.729428 4.712115
116822 22 33 28
0.879064 0.195145 -0.434931 7.242168
116886 22 34 28
0.857978 -0.315422 -0.405441 6.840049
117142 22 38 28
0.854745 0.517884 -0.034741 5.062226
96854 22 41 23
0.992492 0.092761 0.079724 11.438038
100950 22 41 24
0.611850 0.031294 -0.790354 8.906690
96918 22 42 23
0.850670 -0.470306 0.234890 10.052685
96982 22 43 23
0.825825 -0.463134 0.321745 7.004412
206039 23 19 50
-0.206165 0.923344 -0.323933 2.422172
197975 23 21 48
-0.201009 0.553696 0.808094 4.213900
210263 23 21 51
-0.818685 -0.267526 -0.508119 3.741431
214359 23 21 52
-0.657190 -0.090782 -0.748238 3.167191
185879 23 24 45
-0.050209 0.992751 0.109204 7.050282
173655 23 25 42
-0.179943 0.400601 0.898410 4.716722
177751 23 25 43
-0.219860 0.849014 0.480455 7.459435
185943 23 25 45
0.685759 0.727746 -0.010959 9.933378
177815 23 26 43
0.142461 0.200902 0.969197 9.142108
190103 23 26 46
0.423129 -0.070188 -0.903347 8.130033
177879 23 27 43
0.281452 -0.197496 0.939032 8.919258
177943 23 28 43
0.469778 -0.351983 0.809578 7.726682
182039 23 28 44
0.737015 -0.639827 0.217785 10.005324
182103 23 29 44
0.604594 -0.792724 0.077812 7.074722
104407 23 31 25
0.442728 0.725561 0.526832 8.962379
108567 23 32 26
0.943955 0.053281 0.325746 13.500938
112727 23 33 27
0.955875 0.278727 0.092811 16.295113
116823 23 33 28
0.666145 0.182169 -0.723233 13.669846
120919 23 33 29
0.465486 0.036874 -0.884287 6.956296
108695 23 34 26
0.758983 -0.247719 0.602146 13.436147
112791 23 34 27
0.928177 -0.372035 -0.008796 16.132460
108759 23 35 26
0.723824 -0.520229 0.453255 9.602377
112855 23 35 27
0.818122 -0.573580 -0.041013 11.525530
84375 23 38 20
0.623155 0.761039 0.180271 4.570003
